date,time,platform,content_type,content,media_notes,link,tags,notes
2026-06-30,09:00,facebook,text,"5 biomarkers in 5 days. Tomorrow: the math no one teaches you.

Tracking setup, interpretation lens, what to ask your doctor for — all in this thread.

Day 1: Morning HRV (Heart Rate Variability) — your vagus brake gauge.
Day 2: TyTron paraspinal thermal scan.
Day 3: Tryptase + urine MCAS mediators.
Day 4: ESR + CRP + symptoms tracking.
Day 5: Vitamin D + magnesium status.

The framework that forced the data — yours and mine.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_4_5biomarkers_countdown",,,pre_launch,lived_protocol,"FB countdown post. Works as standalone."
2026-06-30,17:00,pinterest,pin,"Pin: HRV tracking — your vagus brake gauge

Description: Morning HRV is the single best daily proxy for vagus nerve function. Free phone app, before caffeine, before screens. When my upper cervical instability was flaring, HRV was chaotic 30s-40s. After Blair adjustments + terrain work, mid-50s+. The number moves when the upstream driver is being addressed.

→ https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_2_hrv_tracking","⚠️ REQUIRES: Single image. HRV chart screenshot (anonymized) or biomarker infographic.",https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_2_hrv_tracking,pre_launch,lived_protocol,"Pinterest pin — HRV tracking deep-dive. Requires chart screenshot."
2026-07-01,09:00,facebook,text,"How to track morning HRV in 60 seconds (free phone app, no equipment, before caffeine).

The single best daily proxy for vagus nerve function.

Open app. Sit still. 60 seconds. Log the number + SD.

This is the data that catches the upstream driver most doctors miss.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_5_hrv_60sec",,,pre_launch,lived_protocol,"FB text post. Practical how-to."
2026-07-01,15:00,instagram,reel,"[Reel — 30-60 second HRV tracking tutorial]

Visual: phone screen + Dre's hand + free app (HRV4Training or similar)
Voiceover: 'How to track morning HRV in 60 seconds. Free phone app. No equipment. Before caffeine. Open app. Sit still. 60 seconds. Log the number + SD. This is the data that catches the upstream driver most doctors miss.'

Caption: The single best daily proxy for vagus nerve function. → https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=reel_1_hrv_60sec

#HRV #Biomarkers #VagusNerve #ProofOverHype","⚠️ REQUIRES: 30-60 second vertical video (9:16 ratio). Phone screen recording + voiceover.",https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=reel_1_hrv_60sec,pre_launch,lived_protocol,"IG Reel — practical HRV how-to. Requires screen recording + voiceover."
2026-07-02,09:00,facebook,text,"TyTron scans vs MRI — why the cheaper tool gives better data for this terrain.

TyTron = autonomic infrared scan. ~$50. Direct visual on nerve interference at C1-C2.

MRI = structural imaging. ~$500-2000. Shows anatomy, not function.

For the mechanical driver behind multi-system illness, autonomic function matters more.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_6_tytron_vs_mri",,,pre_launch,lived_protocol,"FB text post — biomarker explainer."
2026-07-02,17:00,pinterest,pin,"Pin: TyTron scan vs MRI

Description: TyTron scans show autonomic function at the upper cervical spine. ~$50 vs ~$500-2000 for MRI. For multi-system illness driven by mechanical instability at C1-C2, autonomic function is what matters.

→ https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_3_tytron_vs_mri","⚠️ REQUIRES: Single image. TyTron scan image (Dre's own, anonymized) or comparison infographic.",https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_3_tytron_vs_mri,pre_launch,lived_protocol,"Pinterest pin — TyTron vs MRI comparison. Requires visual asset."
2026-07-03,09:00,facebook,text,"The peptide market runs on a supply chain almost nobody talks about.

~80% of the world's therapeutic peptide raw material is made in Chinese factories using solid-phase synthesis.

A single amino acid supplier disruption can halt a compound's global supply.

The FDA's Pharmacy Compounding Advisory Committee meets July 23-24. On the table:
- BPC-157 (currently Category 2)
- KPV
- TB-500
- MOTs-C
- Semax
- Emideltide
- Epitalon

The framework stays upstream of any regulatory decision.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_7_supply_chain_adapted",,,pre_launch,macro_longevity,"FB long-form text post — Macro pillar content. Full thread 4 adapted for FB voice."
2026-07-03,15:00,instagram,carousel,"[Carousel — FDA PCAC meeting prep + supply chain context]

Slide 1: FDA PCAC meets July 23-24. Here's what's on the table.
Slide 2: The 7 compounds under review
Slide 3: What Category 1 vs Category 2 means
Slide 4: The supply chain context
Slide 5: The framework lens — upstream of regulatory decisions
Slide 6: What's at stake for your protocol
Slide 7: How to follow live coverage
Slide 8: Subscribe for the framework
Slide 9: Live coverage July 23-24

Caption: FDA PCAC meeting is in 20 days. Here's what's on the agenda. I'll be live-tweeting + translating each committee vote within 4 hours.

→ https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_3_pcac_meeting

#FDA #PCAC #BPC157 #RegulatoryWatch #Peptides","⚠️ REQUIRES: 9 slide images. Use FDA logo (public domain) + compound tables as visuals.",https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_3_pcac_meeting,pre_launch,macro_longevity,"IG carousel — FDA PCAC meeting preview. Visual-first adaptation of X Thread 4."
2026-07-05,11:00,facebook,text,"A 10mg vial. 1mL of BAC water.

Concentration: 10,000 mcg/mL.

Target dose: 250 mcg.

Required draw: 0.025 mL.

On a U-100 syringe, that's 2.5 ticks.

You cannot eyeball 2.5 ticks.

The math:
C = (Mass × 1000) ÷ Volume
V_draw = Target Dose ÷ C
Ticks = V_draw × 100

That's it. That's the recon math.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_8_recon_math_adapted",,,pre_launch,reconstitution,"FB text post — recon math deep dive. Adapted from X Thread 5."
2026-07-05,15:00,youtube,short,"[YT Short — recon math tutorial]

Title: The recon math that almost killed me

Description: 2.5 ticks is gambling. 5 ticks is measurable. The math doesn't care if you're 'good with numbers.' 2.5 ticks is 2.5 ticks.

→ https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_3_recon_math

#Shorts #ReconMath #Peptides","⚠️ REQUIRES: 60-second vertical video. On-screen formula + syringe visual + voiceover.",https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_3_recon_math,pre_launch,reconstitution,"YT Short — recon math visual tutorial."
2026-07-05,17:00,tiktok,video,"[TikTok video — recon math visual]

HOOK: 'A 10mg vial. 1mL of BAC water. You cannot eyeball 2.5 ticks.'

VISUAL: Show the math on-screen
C = 10mg × 1000 ÷ 1mL = 10,000 mcg/mL
V_draw = 250 ÷ 10,000 = 0.025 mL = 2.5 ticks

CTA: 'The math doesn't care if you're good with numbers. 2.5 ticks is 2.5 ticks. Free Dose Calc in bio.'

#ReconMath #Peptides #DoseCalc","⚠️ REQUIRES: 30-second vertical video. On-screen formula. Could be repurposed from YT Short above.",https://doseofproof.substack.com/?utm_source=tiktok&utm_medium=social&utm_campaign=pre_launch&utm_content=video_3_recon_math,pre_launch,reconstitution,"TikTok recon math video — same as YT Short, repurposed."
2026-07-07,09:00,facebook,text,"FDA PCAC meeting is in 16 days. Here's what's on the agenda.

BPC-157, KPV, TB-500, MOTs-C, Semax + bonus compounds.

I'll be live-tweeting the hearings July 23-24 + translating each committee vote through the brand's PCAC framework within 4 hours.

The framework works regardless of regulatory outcomes.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_9_pcac_countdown_adapted",,,pre_launch,macro_longevity,"FB countdown post. PCAC week prep."
